"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code"
2033310,"Yongsheng","Yongsheng","",41.08333,107.25,"P","PPL"
2033332,"Yong’an","Yong'an","Yong'an,Yong'an Zhen,Yong’an,Yong’an Zhen,yong an,yong an zhen,永安,永安镇",45.81318,121.64068,"P","PPLA4"
2033334,"Yolin Mod","Yolin Mod","Yao-li-mao-tu,Yolin Mod",44.11667,122.25,"P","PPL"
2033342,"Yitulihe","Yitulihe","I-t'u-li-ho,I-tuli,I-t’u-li-ho,Yitulihe,Yitulihe Zhen,yi tu hei he,yi tu hei he zhen,伊图黑河,伊图黑河镇",50.6351,121.56766,"P","PPLA4"
2033352,"Yin Shan","Yin Shan","Yin Shan,Yin-shan Shan-mo",41.28194,108.8025,"T","MTS"
2033360,"Yin He","Yin He","Yin He,Yin Ho",42.31667,118.61667,"H","STM"
2033361,"Yinhao","Yinhao","Yinhao,yin hao,银号",41.11959,110.30635,"P","PPLA4"
2033382,"Yingchen","Yingchen","",49.6,124.03333,"P","PPL"
2033386,"Yinbeiliang","Yinbeiliang","",40.95,113.31667,"P","PPL"
2033387,"Yimuhe","Yimuhe","I-mu,I-mu-ch'ia,I-mu-ch’ia,I-mu-ho,I-mu-k'a,I-mu-k’a,Imuya,Yimuhe",52.75,120.11667,"P","PPL"
2033388,"Yiminhe Muchang","Yiminhe Muchang","Yiminhe Muchang",48.66667,119.9,"P","PPLF"
2033389,"Yimin He","Yimin He","I-min Ho,I-min-kuo-lo Ho,Iminkhe,Min Ho,Yimin He,yi min he,伊敏河",49.26667,119.71667,"H","STM"
2033390,"Yimin Sumu","Yimin Sumu","I-min-ho,Yimin,Yimin Sumu,Yiminhe,yi min su mu,伊敏苏木",48.43083,119.75496,"P","PPL"
2033399,"Yiliekede","Yiliekede","I-lieh-K'o-te,I-lieh-K’o-te,Yiliekede,yi lie ke de,伊列克得",48.84452,121.58775,"P","PPL"
2033409,"Yihegong","Yihegong","",42.78333,118.31667,"P","PPL"
2033514,"Yangd Sum","Yangd Sum","Yang-lo-su-mu,Yang-tao-su-mu,Yangd Sum",43.32028,115.64389,"P","PPL"
2033517,"Yangchangzi He","Yangchangzi He","Yang-ch'ang-tzu Ho,Yang-ch’ang-tzu Ho,Yangchangzi He",42.51306,119.58722,"H","STM"
2033518,"Yangchang","Yangchang","",43.61667,119.16667,"P","PPL"
2033519,"Yangchang","Yangchang","",42.62389,119.99472,"P","PPL"
2033523,"Yandian","Yandian","Yandian,Yen-tien",40.0475,110.2525,"P","PPL"
2033528,"Yamenyingzi","Yamenyingzi","Ya-men-ying-tzu,Yamenyingzi",42.38333,121.05,"P","PPL"
2033529,"Yamenying","Yamenying","Ya-men,Yamenying",43.34861,122.23,"P","PPL"
2033530,"Yamenmiao","Yamenmiao","",43.91667,119.53333,"P","PPL"
2033532,"Yalu He","Yalu He","Ya-lu Ho,Yalu He,Yalukhe,ya lu he,雅鲁河",46.9533,123.51537,"H","STM"
2033533,"Yalu","Yalu","Jalu,Ya-erh,Yal,Yalu,ya lu,Ялу,雅鲁",48.54353,122.13719,"P","PPL"
2033535,"Yakeshi Shi","Yakeshi Shi","Hsi-kuei-t'u Ch'i,Hsi-kuei-t’u Ch’i,Hsikueit'u Banner,Hsikueit’u Banner,Xuguit Qi,Yakeshi,Yakeshi Shi,xi gui tu qi,ya ke shi,ya ke shi shi,喜桂图旗,牙克石,牙克石市",49.32123,121.27807,"A","ADM3"
2033536,"Yakeshi","Yakeshi","Hsi-kuei-t'u,Hsi-kuei-t’u,Jakehshi,Shih-k'o-ya,Shih-k’o-ya,Xingong Jiedao,Xuguit Qi,Ya-k'o-shih,Ya-k’o-shih,Yakeshi,Yakeshi Shi,xi gui tu qi,xin gong jie dao,ya ke shi,ya ke shi shi,Якэши,喜桂图旗,新工街道,牙克石,牙克石市",49.28333,120.73333,"P","PPLA3"
2033537,"Yake Shan","Yake Shan","",48,121.5,"T","MTS"
2033543,"Yagan","Yagan","Yagan,ya gan,雅干",42.01667,102.58333,"P","PPL"
